time,_start,_stop,_time,_field_cdi,_field_depth,_field_dmin,_field_felt,_field_gap,_field_lat,_field_lon,_field_mag,_field_mmi,_field_nst,_field_rms,_field_sig,_field_tsunami,magType_mb,magType_mb_lg,magType_md,magType_ml,magType_mwr,magType_mww,net_ak,net_ci,net_hv,net_nc,net_ok,net_pr,net_us
2023-02-19 20:16:29.488000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 20:16:29.488000+00:00,0.0,10.0,8.002,0,78.0,-12.7247,66.3437,4.9,0.0,103,0.55,369,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2023-02-19 20:21:58.240000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 20:21:58.240000+00:00,0.0,5.21,0.06644,0,40.0,33.038,-116.4016667,1.34,0.0,37,0.19,28,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2023-02-19 20:27:18.320000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 20:27:18.320000+00:00,0.0,4.8,0.08685,0,158.0,39.7389984,-121.7796631,1.95,0.0,5,0.04,58,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2023-02-19 20:38:48.190000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 20:38:48.190000+00:00,0.0,1.4,0.0039,0,73.0,38.8348351,-122.7883301,0.29,0.0,8,0.02,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2023-02-19 20:41:30.690000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 20:41:30.690000+00:00,0.0,4.25,0.1808,0,63.0,33.252,-116.0501667,1.21,0.0,26,0.36,23,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2023-02-19 20:55:44.750000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 20:55:44.750000+00:00,0.0,11.11,0.05812,0,208.0,17.9301666666667,-66.8401666666667,2.92,0.0,13,0.19,131,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2023-02-19 21:03:15.040000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 21:03:15.040000+00:00,0.0,5.39,0.08522,0,119.0,37.5125,-118.874,0.99,0.0,13,0.04,15,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2023-02-19 21:28:19.169000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 21:28:19.169000+00:00,0.0,35.0,1.244,0,140.0,53.1914,160.6941,4.3,0.0,33,0.87,284,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2023-02-19 21:30:17.786000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 21:30:17.786000+00:00,0.0,0.0,0.0,0,0.0,63.546,-150.8442,1.4,0.0,0,0.48,30,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2023-02-19 21:30:30.207000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 21:30:30.207000+00:00,2.0,10.0,0.146,1,105.0,37.3597,36.8864,3.9,0.0,34,0.68,234,0,0,0,0,0,1,0,0,0,0,0,0,0,1
